publish_date,rbk_postive_cryptobert,rbk_negative_cryptobert,rbk_neutral_cryptobert
2017-12-08,0.043781593441963196,0.8672311305999756,0.0889873206615448
2018-02-07,0.10808806121349335,0.00013140641385689378,0.8917805552482605
2018-02-26,0.17232821881771088,0.0008545552263967693,0.8268172144889832
2018-02-26,0.03562769293785095,0.00031021807808429003,0.9640620946884155
2018-03-01,0.42944952845573425,0.0018224295927211642,0.5687280297279358
2018-03-01,0.04352333024144173,0.8422648906707764,0.1142117828130722
2018-02-28,0.2940961718559265,0.0341016985476017,0.6718021035194397
2018-03-02,0.0194344874471426,0.8916706442832947,0.0888948068022728
2018-03-02,0.5225299596786499,0.003097508568316698,0.4743724763393402
2018-03-02,0.20323878526687622,0.0024504167959094048,0.7943107485771179
2018-03-05,0.47635337710380554,0.005486265290528536,0.518160343170166
2018-03-05,0.3239486515522003,0.0008023048867471516,0.6752490401268005
2018-03-07,0.19380290806293488,0.09786229580640793,0.7083348035812378
2018-03-07,0.2269013226032257,0.0026432941667735577,0.7704553604125977
2018-03-06,0.2794412076473236,0.0007469697738997638,0.7198118567466736
2018-03-06,0.2787451148033142,0.08387582004070282,0.6373791098594666
2018-03-13,0.5129808783531189,0.020944222807884216,0.4660748839378357
2018-03-13,0.15091463923454285,0.6607435345649719,0.1883418709039688
2018-03-13,0.6326607465744019,0.019815275445580482,0.34752407670021057
2018-03-12,0.4762340784072876,0.08783688396215439,0.43592897057533264
2018-03-12,0.11589021980762482,0.0008185668266378343,0.8832912445068359
2018-03-15,0.44709512591362,0.004967463668435812,0.5479374527931213
2018-03-15,0.516343891620636,0.00028837492573074996,0.4833676517009735
2018-03-15,0.2379288226366043,0.5068597197532654,0.2552115023136139
2018-03-14,0.1804816722869873,0.13410484790802002,0.6854134798049927
2018-03-14,0.19851918518543243,0.1210891604423523,0.6803916096687317
2018-03-16,0.42329931259155273,0.013463075272738934,0.5632376074790955
2018-03-16,0.015592008829116821,0.9114805459976196,0.07292739301919937
2018-03-16,0.061197467148303986,0.20205092430114746,0.7367515563964844
2018-03-16,0.6246345043182373,0.0021299475338310003,0.3732355237007141
2018-03-16,0.16722193360328674,0.07970122992992401,0.7530768513679504
2018-03-16,0.15469977259635925,0.036179687827825546,0.8091205358505249
2018-03-19,0.3457721471786499,0.00011533020733622834,0.6541124582290649
2018-03-19,0.09463987499475479,0.4667578637599945,0.43860214948654175
2018-03-19,0.16762641072273254,0.5512717962265015,0.2811018228530884
