publish_date,rbk_positive,rbk_negative
2017-12-08,0.5087010860443115,0.4912989139556885
2018-02-07,0.3687489926815033,0.6312510371208191
2018-02-26,0.5172860622406006,0.4827139675617218
2018-02-26,0.40123870968818665,0.598761260509491
2018-03-01,0.31507396697998047,0.6849260330200195
2018-03-01,0.38021162152290344,0.6197882890701294
2018-02-28,0.4905513525009155,0.5094487071037292
2018-03-02,0.5059011578559875,0.49409884214401245
2018-03-02,0.5296109914779663,0.4703890383243561
2018-03-02,0.3682604134082794,0.6317396759986877
2018-03-05,0.5290341377258301,0.47096577286720276
2018-03-05,0.4001064598560333,0.5998935699462891
2018-03-07,0.4082307815551758,0.5917692184448242
2018-03-07,0.3985363841056824,0.6014636158943176
2018-03-06,0.40012282133102417,0.5998771786689758
2018-03-06,0.4448319375514984,0.5551680326461792
2018-03-13,0.49728015065193176,0.5027198791503906
2018-03-13,0.5213680863380432,0.47863197326660156
2018-03-13,0.5114061832427979,0.48859381675720215
2018-03-12,0.6280845999717712,0.37191540002822876
2018-03-12,0.25591766834259033,0.7440823316574097
2018-03-15,0.5598964095115662,0.4401036202907562
2018-03-15,0.4748647212982178,0.5251352190971375
2018-03-15,0.5186656713485718,0.4813343584537506
2018-03-14,0.45460987091064453,0.5453901886940002
2018-03-14,0.5040386319160461,0.49596133828163147
2018-03-16,0.5290857553482056,0.47091424465179443
2018-03-16,0.10667926073074341,0.8933207392692566
2018-03-16,0.4345010817050934,0.565498948097229
2018-03-16,0.4762193560600281,0.5237806439399719
2018-03-16,0.43464669585227966,0.5653533339500427
2018-03-16,0.350699245929718,0.649300754070282
2018-03-19,0.4137154221534729,0.5862845778465271
2018-03-19,0.14131882786750793,0.8586812019348145
2018-03-19,0.5509877800941467,0.4490121901035309
2018-03-19,0.4240565001964569,0.5759435296058655
2018-03-21,0.4393405616283417,0.5606593489646912
2018-03-21,0.14736025035381317,0.8526397943496704
2018-03-21,0.49302443861961365,0.5069755911827087
2018-03-21,0.4018339216709137,0.5981660485267639
2018-03-21,0.5638015270233154,0.43619853258132935
2018-03-21,0.3234460651874542,0.6765539646148682
2018-03-21,0.485532283782959,0.5144676566123962
2018-03-20,0.3189530074596405,0.6810469627380371
2018-03-20,0.524649441242218,0.47535064816474915
2018-03-20,0.5469648838043213,0.45303505659103394
2018-03-20,0.553611695766449,0.44638824462890625
