publish_date,vk_postive_cryptobert,vk_negative_cryptobert,vk_neutral_cryptobert
2022-10-19,0.10671987384557724,0.00012004187738057226,0.8931601047515869
2024-05-24,0.3343696892261505,0.02399791032075882,0.6416324973106384
2024-05-23,0.6622170209884644,0.001338136731646955,0.33644482493400574
2024-05-23,0.26532885432243347,0.010628610849380493,0.7240424752235413
2024-05-23,0.20263992249965668,0.5831077098846436,0.2142523229122162
2024-05-23,0.3477719724178314,0.0011027692817151546,0.6511252522468567
2024-05-22,0.35872945189476013,0.0001318321592407301,0.6411386728286743
2024-05-22,0.37139585614204407,0.036694467067718506,0.5919097065925598
2024-05-22,0.767612099647522,0.001824885723181069,0.2305629700422287
2024-05-21,0.5806010365486145,0.002147605177015066,0.4172513484954834
2024-05-20,0.16380201280117035,0.012131585739552975,0.8240663409233093
2024-05-20,0.47170379757881165,0.00021418469259515405,0.5280820727348328
2024-05-19,0.4001929759979248,0.011285773478448391,0.5885212421417236
2024-05-18,0.40593740344047546,0.11728464066982269,0.47677791118621826
2024-05-17,0.4773893356323242,0.020388498902320862,0.5022221207618713
2024-05-17,0.3225579261779785,0.007701335474848747,0.6697407960891724
2024-05-17,0.4551248848438263,0.0003799918049480766,0.544495165348053
2024-05-16,0.7580437660217285,0.001135585829615593,0.24082067608833313
2024-05-16,0.046843208372592926,0.8305345177650452,0.12262232601642609
2024-05-16,0.3581160008907318,0.013151858001947403,0.6287320852279663
2024-05-16,0.606874406337738,0.0006972206174395978,0.3924283981323242
2024-05-16,0.1857597529888153,0.0023383533116430044,0.8119019269943237
2024-05-16,0.36232078075408936,0.0032512841280549765,0.6344278454780579
2024-05-15,0.4283699095249176,0.07180523127317429,0.4998248219490051
2024-05-15,0.08467541635036469,0.5852712988853455,0.33005329966545105
2024-05-14,0.14114391803741455,0.03971096873283386,0.8191450238227844
2024-05-14,0.4177669584751129,0.006159461569041014,0.5760736465454102
2024-05-13,0.2541704773902893,0.322030633687973,0.42379891872406006
2024-05-13,0.5710034966468811,0.0009824371663853526,0.42801403999328613
2024-05-13,0.29473426938056946,0.23708416521549225,0.4681815803050995
2024-05-13,0.07339240610599518,0.7265074253082275,0.20010022819042206
2024-05-12,0.6102761626243591,0.005102133844047785,0.3846217393875122
2024-05-12,0.3033260405063629,0.0012155452277511358,0.6954584717750549
2024-05-12,0.178578719496727,0.23159126937389374,0.5898299217224121
2024-05-12,0.22483080625534058,0.09683748334646225,0.678331732749939
2024-05-12,0.4014268219470978,0.004610239528119564,0.5939629673957825
2024-05-11,0.2099306881427765,0.5909032821655273,0.19916608929634094
2024-05-11,0.0767032578587532,0.34822988510131836,0.5750668048858643
2024-05-10,0.6769787669181824,0.000375276809791103,0.3226458728313446
2024-05-10,0.6227222681045532,0.0012799609685316682,0.3759978413581848
2024-05-09,0.410368949174881,0.00023443266400136054,0.589396595954895
2024-05-08,0.3370600640773773,0.018501924350857735,0.6444380283355713
2024-05-08,0.32321175932884216,0.03252137452363968,0.6442668437957764
2024-05-07,0.5833076238632202,0.0030959798023104668,0.41359642148017883
2024-05-07,0.26079967617988586,0.0005172197706997395,0.7386830449104309
2024-05-07,0.2745664715766907,0.010049520991742611,0.7153840065002441
2024-05-06,0.31496739387512207,0.0015379386022686958,0.6834947466850281
2024-05-06,0.2104821801185608,0.415662556886673,0.37385526299476624
2024-05-06,0.43117910623550415,0.0003965108480770141,0.5684242844581604
